datetime,city,pm25,temperature,humidity,wind_speed,precipitation,industrial_index
2023-01-01 00:00:00,CityA,86.3683467567929,15.99,68.9,3.15,0.017,1.305
2023-01-01 01:00:00,CityA,64.49583036831854,17.02,64.7,1.97,0.02,1.048
2023-01-01 02:00:00,CityA,77.31219142864072,11.55,62.8,1.49,0.035,1.063
2023-01-01 03:00:00,CityA,81.2907097301441,10.72,59.1,3.1,0.072,0.891
2023-01-01 04:00:00,CityA,70.68296047045077,12.7,63.0,1.9,0.115,0.942
2023-01-01 05:00:00,CityA,72.53405315610988,14.68,50.9,2.49,0.24,1.165
2023-01-01 06:00:00,CityA,70.99592416838466,15.42,34.3,1.17,0.349,1.039
2023-01-01 07:00:00,CityA,79.26023321520762,16.76,36.8,0.92,0.032,0.908
2023-01-01 08:00:00,CityA,78.8239707171194,15.69,25.9,2.82,0.008,0.923
2023-01-01 09:00:00,CityA,66.09177802174554,16.78,43.0,3.25,0.008,0.832
2023-01-01 10:00:00,CityA,80.94534306129772,15.66,40.5,2.02,0.037,0.963
2023-01-01 11:00:00,CityA,69.74466441377164,13.2,37.4,2.8,0.064,1.072
2023-01-01 12:00:00,CityA,73.63786978691122,15.72,42.3,2.46,0.074,1.313
2023-01-01 13:00:00,CityA,78.32395041884149,14.88,19.3,3.54,0.071,0.956
2023-01-01 14:00:00,CityA,71.97278107751919,17.96,28.5,1.69,0.265,0.9
2023-01-01 15:00:00,CityA,80.22709981946635,17.32,37.9,2.81,0.021,1.019
2023-01-01 16:00:00,CityA,45.19012277202809,13.6,37.4,2.11,0.17,0.707
2023-01-01 17:00:00,CityA,74.51530912378858,15.69,41.7,2.21,0.041,0.968
2023-01-01 18:00:00,CityA,63.36686208214097,18.77,51.4,2.76,0.328,0.985
2023-01-01 19:00:00,CityA,93.41690986792234,,46.6,1.51,0.004,1.012
2023-01-01 20:00:00,CityA,64.05055981908384,14.62,62.4,2.47,0.424,0.766
2023-01-01 21:00:00,CityA,74.51275595372327,12.7,57.9,3.27,0.13,1.281
2023-01-01 22:00:00,CityA,87.19187247695277,16.17,84.8,1.51,0.004,0.887
2023-01-01 23:00:00,CityA,78.00160376640368,16.75,69.4,2.13,0.026,0.788
2023-01-02 00:00:00,CityA,69.48824288627857,13.16,82.4,1.72,0.259,0.936
2023-01-02 01:00:00,CityA,71.50391736557951,16.11,77.7,3.03,0.081,0.679
2023-01-02 02:00:00,CityA,76.3414372651925,,73.6,1.26,0.129,0.736
2023-01-02 03:00:00,CityA,74.11790703776221,17.43,66.0,3.35,0.001,1.059
2023-01-02 04:00:00,CityA,72.93758274692908,18.73,63.8,1.31,0.125,1.131
2023-01-02 05:00:00,CityA,97.16981881009147,12.74,61.3,,0.189,1.164
2023-01-02 06:00:00,CityA,70.96414228876576,14.51,44.0,1.61,0.361,0.837
2023-01-02 07:00:00,CityA,90.23095174954355,14.52,54.5,3.04,0.07,0.947
2023-01-02 08:00:00,CityA,70.17589329068596,16.25,,1.43,0.282,1.096
2023-01-02 09:00:00,CityA,78.47769531433852,16.48,32.2,3.28,0.049,0.911
2023-01-02 10:00:00,CityA,78.32738252923455,15.43,22.7,2.67,0.084,1.077
2023-01-02 11:00:00,CityA,84.35010867671119,13.38,39.1,2.55,0.135,1.217
2023-01-02 12:00:00,CityA,76.89055329504328,12.24,22.5,3.02,0.202,1.103
2023-01-02 13:00:00,CityA,78.85800503021166,16.74,42.2,2.51,0.105,1.191
2023-01-02 14:00:00,CityA,71.21392154383278,14.37,38.8,1.73,0.086,0.953
2023-01-02 15:00:00,CityA,83.00752228522815,13.93,21.5,2.86,0.089,0.906
2023-01-02 16:00:00,CityA,94.85859979104558,15.13,31.4,1.78,0.098,1.136
2023-01-02 17:00:00,CityA,56.45379562883487,18.69,55.7,3.33,0.372,0.595
2023-01-02 18:00:00,CityA,63.86920514249319,13.68,56.8,1.71,0.003,0.977
2023-01-02 19:00:00,CityA,78.1728968049194,18.32,52.5,2.18,0.029,1.353
2023-01-02 20:00:00,CityA,65.99278796634302,12.48,67.3,4.62,0.054,1.206
2023-01-02 21:00:00,CityA,62.00292512200812,12.44,62.2,4.37,0.01,0.352
2023-01-02 22:00:00,CityA,74.19613023675777,14.49,57.3,4.13,0.101,0.714
2023-01-02 23:00:00,CityA,76.76558474766016,14.07,69.8,4.85,0.194,0.804
2023-01-03 00:00:00,CityA,58.88753377064956,15.4,65.2,2.57,0.282,0.923
2023-01-03 01:00:00,CityA,81.93797815042682,17.56,64.4,4.61,0.079,0.97
2023-01-03 02:00:00,CityA,70.71688340066247,15.56,62.3,2.29,0.186,0.901
2023-01-03 03:00:00,CityA,83.8081128266855,14.29,71.8,3.95,0.21,1.163
2023-01-03 04:00:00,CityA,63.370036911119065,13.34,55.5,3.25,0.466,1.122
2023-01-03 05:00:00,CityA,88.1903600942023,12.56,49.8,3.66,0.267,0.956
2023-01-03 06:00:00,CityA,66.61760699846764,16.65,56.5,3.81,0.039,1.004
2023-01-03 07:00:00,CityA,72.13025207337175,16.71,,1.89,0.3,1.019
2023-01-03 08:00:00,CityA,70.67863094440018,13.36,56.7,1.49,0.112,0.757
2023-01-03 09:00:00,CityA,75.53803942939763,16.33,30.3,2.49,0.08,1.195
2023-01-03 10:00:00,CityA,68.96733142566342,13.35,30.1,2.91,0.096,0.887
2023-01-03 11:00:00,CityA,57.35673402811426,15.41,35.2,3.37,0.008,0.71
2023-01-03 12:00:00,CityA,78.26939510791136,13.56,28.3,2.81,0.055,1.295
2023-01-03 13:00:00,CityA,70.5015679712475,14.99,25.2,2.45,0.013,1.065
2023-01-03 14:00:00,CityA,69.8545744947264,16.04,44.9,2.39,0.034,1.08
2023-01-03 15:00:00,CityA,59.69593631833755,15.92,36.4,3.48,0.496,1.02
2023-01-03 16:00:00,CityA,84.46555551187916,15.05,44.0,3.95,0.061,1.192
2023-01-03 17:00:00,CityA,61.229846845788146,18.63,43.9,3.48,0.097,0.832
2023-01-03 18:00:00,CityA,53.54093305776351,10.75,45.8,1.74,0.366,1.03
2023-01-03 19:00:00,CityA,78.50296407926149,15.72,59.7,3.47,0.018,0.736
2023-01-03 20:00:00,CityA,70.24432904573945,17.36,56.2,0.79,0.35,1.271
2023-01-03 21:00:00,CityA,83.9001730440516,15.56,44.5,1.6,0.032,1.001
2023-01-03 22:00:00,CityA,62.799758835867244,14.1,72.3,1.43,0.308,0.972
